Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,price_volatility_mean,price_volatility_CI95_lower,price_volatility_CI95_upper,depth_within_5_ticks_mean,depth_within_5_ticks_CI95_lower,depth_within_5_ticks_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper,mm_final_inventory_mean,mm_final_inventory_CI95_lower,mm_final_inventory_CI95_upper,mm_realized_spread_mean,mm_realized_spread_CI95_lower,mm_realized_spread_CI95_upper
S34,5.0,0.1,1.0,5,2.323724259364696,2.2951750567847005,2.3522734619446912,1.2083078182238904e-05,1.0198671775522416e-05,1.3967484588955392e-05,0.0,0.0,0.0,74.77062741216514,71.81809147586087,77.72316334846941,-0.8,-9.14782442894425,7.54782442894425,-0.8127334455821517,-0.8304723410138872,-0.7949945501504161
S35,5.0,0.1,2.0,5,2.721260545823083,2.693840049756337,2.748681041889829,1.3235173380637234e-05,1.12046512079881e-05,1.5265695553286368e-05,0.0,0.0,0.0,126.87906810972147,123.75316075501829,130.00497546442472,1.2,-7.727900892444329,10.127900892444329,-1.4194007923172016,-1.4364124494341397,-1.4023891352002635
S36,5.0,0.2,0.1,5,0.9898761514425536,0.9715577623235468,1.0081945405615609,4.229545940639719e-06,3.754509291816078e-06,4.70458258946336e-06,0.0,0.0,0.0,7.438913416841407,6.629153851969445,8.24867298171337,1.6,-2.8423121683164774,6.042312168316478,-0.0723515947542588,-0.0917766729005251,-0.0529265166079926
S37,5.0,0.2,0.25,5,1.0419054891973492,1.0292978817331797,1.0545130966615186,3.907050251729474e-06,3.448290822149132e-06,4.365809681309817e-06,0.0,0.0,0.0,18.5613375984057,17.337820496118653,19.784854700692748,-1.4,-6.095394725411879,3.2953947254118785,-0.1905046029935164,-0.2007037039543246,-0.1803055020327082
S38,5.0,0.2,0.5,5,1.1583406430703902,1.1404052115808885,1.176276074559892,3.49010034665809e-06,3.0809868989866785e-06,3.8992137943295015e-06,0.0,0.0,0.0,36.42482429263755,35.411742443164094,37.43790614211101,-2.4,-7.095394725411879,2.2953947254118794,-0.3976713209517456,-0.4064918601797407,-0.3888507817237505
S39,5.0,0.2,1.0,5,1.351398640636568,1.3332250857641943,1.3695721955089413,3.703134134217347e-06,3.408216964261724e-06,3.99805130417297e-06,0.0,0.0,0.0,60.777224504531695,58.267194584180885,63.287254424882505,0.2,-3.355584589398764,3.755584589398764,-0.6930490711210924,-0.70472047327765,-0.6813776689645348
S4,1.0,0.05,1.0,5,3.4040018214616268,3.371720804824772,3.4362828380984816,1.7412744251614353e-05,1.502226105518072e-05,1.9803227448047985e-05,0.0,0.0,0.0,374.29106311154254,355.21167922904334,393.37044699404174,0.8,-7.865000051471562,9.465000051471565,-0.7723325831813546,-0.7916632420510608,-0.7530019243116484
S40,5.0,0.2,2.0,5,1.5671639546156375,1.5492065374512454,1.58512137178003,4.960360641748434e-06,4.594942493661577e-06,5.3257787898352905e-06,0.0,0.0,0.0,73.80471979063685,71.12767603416508,76.48176354710863,1.2,-7.813830696753942,10.21383069675394,-0.9258596984304456,-0.9395867927734866,-0.9121326040874046
S41,5.0,0.3,0.1,5,0.6757703734308074,0.6603403652461912,0.6912003816154235,1.945268005363558e-06,1.7606138065891436e-06,2.129922204137973e-06,0.0,0.0,0.0,7.440568928827931,6.281066246650785,8.600071611005077,1.0,-1.3229406353851942,3.3229406353851942,-0.0784035757764762,-0.0861910033193959,-0.0706161482335566
S42,5.0,0.3,0.25,5,0.7328015444730432,0.7241501253297782,0.7414529636163083,1.713436265033463e-06,1.582365881679002e-06,1.844506648387924e-06,3.0,-2.267934198510506,8.267934198510506,17.984428892418343,17.051455298645564,18.91740248619112,-1.8,-5.245477765151343,1.6454777651513437,-0.1961833280262327,-0.2021767831900902,-0.1901898728623753
S43,5.0,0.3,0.5,5,0.8387611976004775,0.8262349982422933,0.8512873969586617,1.6450677598542232e-06,1.547019983298815e-06,1.7431155364096314e-06,0.0,0.0,0.0,32.42762348775922,31.33489877226275,33.52034820325569,-1.8,-5.245477765151343,1.6454777651513437,-0.3691879853391339,-0.3730037519455927,-0.3653722187326751
S44,5.0,0.3,1.0,5,0.9844909305399416,0.9686858098159636,1.0002960512639194,1.994361152610904e-06,1.8716917532321445e-06,2.1170305519896638e-06,0.0,0.0,0.0,46.35148371722899,44.38262490274808,48.32034253170989,0.8,-4.197601189356039,5.797601189356039,-0.5583877922581215,-0.5696392882292656,-0.5471362962869775
S45,5.0,0.3,2.0,5,1.1030236460300602,1.089085219233485,1.1169620728266354,2.687195751976157e-06,2.545713592300129e-06,2.828677911652185e-06,0.0,0.0,0.0,40.02438392014734,37.8080009537827,42.24076688651199,2.4,-6.184559939566521,10.98455993956652,-0.6527843503584887,-0.6752884377260933,-0.6302802629908841
